category,vtype,priority,rank,buggy_length,final_label,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOu1ut,Coun1ath,Coun1athLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count,life_time,project,origin commit,buggy commit,buggy path,fixer,fixer path,method,resolution,mark-all,mark-human,Name,File,buggy start,buggy end,field
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,1,0,Private Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,16,0,16,6,11,0,7,4,1,10,15,8,7,4,4,4,1,0,-1,-1,-1,-1,0,-1,3,0,-1,-1,0,4,4,4,1,3,3,15,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/BCELFactory.java,,,updateBranchTargets()V,unfixed,0,,org.apache.bcel.util.BCELFactory.updateBranchTargets(),main\java\org\apache\bcel\util\BCELFactory.java,320,320,NO_FIELD
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,1,0,Public Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,3,3,15,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/BCELFactory.java,,,visitLocalVariableInstruction(Lorg/apache/bcel/generic/LocalVariableInstruction;)V,unfixed,0,,org.apache.bcel.generic.EmptyVisitor.visitLocalVariableInstruction(LocalVariableInstruction),main\java\org\apache\bcel\generic\EmptyVisitor.java,126,126,NO_FIELD
DODGY_CODE,QF_QUESTIONABLE_FOR_LOOP,2,17,1,0,Static Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,3,3,6,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/BCELifier.java,,,printFlags(ILorg/apache/bcel/util/BCELifier$FLAGS;)Ljava/lang/String;,unfixed,0,,org.apache.bcel.util.BCELifier.printFlags(int),main\java\org\apache\bcel\util\BCELifier.java,216,216,NO_FIELD
I18N,DM_DEFAULT_ENCODING,1,19,1,0,Public Class,2,2,3,1,14,0,13,1,1,29,16,0,-1,7,2,-1,-1,-1,7,3,14,84,5,2,0,7,-1,265,29,208,49,148,29,-1,-1,-1,122,163,48,115,-1,-1,-1,-1,-1,8,8,11,6,-1,2,4,-1,66,57,0.14,39,39,42,19,3,3,6,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/BCELifier.java,,,<init>(Lorg/apache/bcel/classfile/JavaClass;Ljava/io/Ou1utStream;)V,unfixed,0,,org.apache.bcel.util.BCELifier,main\java\org\apache\bcel\util\BCELifier.java,71,71,NO_FIELD
I18N,DM_DEFAULT_ENCODING,1,19,1,0,Private Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,18,0,18,2,14,0,5,2,0,5,8,3,5,2,2,2,1,0,-1,-1,-1,-1,0,-1,1,0,-1,-1,0,2,2,2,1,3,3,12,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/Class2HTML.java,,,writeMainHTML(Lorg/apache/bcel/util/AttributeHTML;)V,unfixed,0,,org.apache.bcel.util.Class2HTML.writeMainHTML(AttributeHTML),main\java\org\apache\bcel\util\Class2HTML.java,220,220,NO_FIELD
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,1,15,1,0,Public Class,4,3,4,1,25,0,22,4,2,21,11,0,-1,4,4,-1,-1,-1,2,2,6,18,3,1,0,2,-1,202,13,151,36,112,52,-1,-1,-1,85,110,37,73,-1,-1,-1,-1,-1,12,12,12,1,-1,1,6,-1,60,43,0.34,26,23,26,6,6,9,12,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/Class2HTML.java,,,<init>(Lorg/apache/bcel/classfile/JavaClass;Ljava/lang/String;)V,unfixed,0,,org.apache.bcel.util.Class2HTML,main\java\org\apache\bcel\util\Class2HTML.java,88,88,constant_pool
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,17,1,0,Public Class,4,3,4,1,25,0,22,4,2,21,11,0,-1,4,4,-1,-1,-1,2,2,6,18,3,1,0,2,-1,202,13,151,36,112,52,-1,-1,-1,85,110,37,73,-1,-1,-1,-1,-1,12,12,12,1,-1,1,6,-1,60,43,0.34,26,23,26,6,3,9,12,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/Class2HTML.java,,,<init>(Lorg/apache/bcel/classfile/JavaClass;Ljava/lang/String;)V,unfixed,0,,org.apache.bcel.util.Class2HTML,main\java\org\apache\bcel\util\Class2HTML.java,92,92,class_package
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,1,15,1,0,Public Class,4,3,4,1,25,0,22,4,2,21,11,0,-1,4,4,-1,-1,-1,2,2,6,18,3,1,0,2,-1,202,13,151,36,112,52,-1,-1,-1,85,110,37,73,-1,-1,-1,-1,-1,12,12,12,1,-1,1,6,-1,60,43,0.34,26,23,26,6,6,9,12,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/Class2HTML.java,,,<init>(Lorg/apache/bcel/classfile/JavaClass;Ljava/lang/String;)V,unfixed,0,,org.apache.bcel.util.Class2HTML,main\java\org\apache\bcel\util\Class2HTML.java,87,87,class_name
BAD_PRACTICE,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,1,14,131,0,Public Class,2,2,2,1,15,0,10,5,1,18,10,0,-1,0,2,-1,-1,-1,7,3,7,87,0,0,3,4,-1,160,16,82,29,53,63,-1,-1,-1,39,57,25,32,-1,-1,-1,-1,-1,9,9,9,4,-1,1,4,-1,66,57,0.77,16,16,16,10,6,6,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassLoader.java,,,NO_METHOD,unfixed,0,,org.apache.bcel.util.ClassLoader,main\java\org\apache\bcel\util\ClassLoader.java,60,190,NO_FIELD
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,0,Public Class,2,2,2,1,15,0,10,5,1,18,10,0,-1,0,2,-1,-1,-1,7,3,7,87,0,0,3,4,-1,160,16,82,29,53,63,-1,-1,-1,39,57,25,32,-1,-1,-1,-1,-1,9,9,9,4,-1,1,4,-1,66,57,0.77,16,16,16,10,3,6,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassLoader.java,,,NO_METHOD,unfixed,0,,org.apache.bcel.util.ClassLoader,main\java\org\apache\bcel\util\ClassLoader.java,60,60,DEFAULT_IGNORED_PACKAGES
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,1,0,Public Class,2,2,2,1,15,0,10,5,1,18,10,0,-1,0,2,-1,-1,-1,7,3,7,87,0,0,3,4,-1,160,16,82,29,53,63,-1,-1,-1,39,57,25,32,-1,-1,-1,-1,-1,9,9,9,4,-1,1,4,-1,66,57,0.77,16,16,16,10,3,3,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassLoader.java,,,<init>([Ljava/lang/String;)V,unfixed,0,,org.apache.bcel.util.ClassLoader,main\java\org\apache\bcel\util\ClassLoader.java,91,91,ignored_packages
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,32,0,Public Class,2,2,2,1,14,0,9,4,2,33,7,0,-1,4,3,-1,-1,-1,19,3,23,35,1,3,0,19,-1,772,117,530,155,280,126,-1,-1,-1,200,348,157,191,-1,-1,-1,-1,-1,9,9,10,3,-1,1,5,-1,79,50,0.24,63,63,66,29,2,2,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassPath.java,,,NO_METHOD,unfixed,0,,org.apache.bcel.util.ClassPath,main\java\org\apache\bcel\util\ClassPath.java,285,316,NO_FIELD
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,13,1,0,Public Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,2,2,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassPath.java,,,getBase()Ljava/lang/String;,unfixed,0,,org.apache.bcel.util.ClassPath.AbstractZip.getClassFile.(Anon_1).getBase(),main\java\org\apache\bcel\util\ClassPath.java,289,289,NO_FIELD
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,13,1,0,Private Static Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,14,0,13,4,8,1,8,6,1,7,11,5,6,4,4,5,1,0,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.08,4,4,5,1,1,2,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassPath.java,,,addJdkModules(Ljava/lang/String;Ljava/util/List;)V,unfixed,0,,"org.apache.bcel.util.ClassPath.addJdkModules(String,List<String>)",main\java\org\apache\bcel\util\ClassPath.java,454,454,NO_FIELD
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,1,0,Public Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,1,3,9,319,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,86ecbb0b7d1981b0b6d8ce4a297551da6fc73ace,src/main/java/org/apache/bcel/util/ClassPath.java,,,getInputStream(Ljava/lang/String;Ljava/lang/String;)Ljava/io/InputStream;,unfixed,0,,org.apache.bcel.util.ClassPath.AbstractZip.getClassFile.(Anon_1).getInputStream(),main\java\org\apache\bcel\util\ClassPath.java,704,704,NO_FIELD
